group_id,group_label,goal,key,label,priority,section,source_stage,current_keys,used_by,current_capture_status,example,note
identity_trace,标识与回放,保证一套房源可唯一追踪、可重放详情页、可回填历史数据。,item_id,平台房源ID,P0-必填,identity,list_page,id|item_id|唯一id|source_item_id,subject_lookup|dedupe|replay,stable,"""864984339365""",规范层主键；采集器和后端所有去重、回放、估值查询都依赖它。
identity_trace,标识与回放,保证一套房源可唯一追踪、可重放详情页、可回填历史数据。,source_url,详情页原始链接,P0-必填,identity,list_page,url|source_url|原始网站,replay|archive_recovery|audit,stable,"""https://sf-item.taobao.com/sf_item/864984339365.htm""",历史补抓、详情页回放、排查异常样本都需要原始链接。
identity_trace,标识与回放,保证一套房源可唯一追踪、可重放详情页、可回填历史数据。,title,房源标题,P1-强烈建议,identity,list_page,title|标题|标的物名称,housing_type_inference|community_inference|manual_review,stable,"""瑞安市陶山镇石坑村201室房地产""",当结构化字段缺失时，标题仍然是用途、小区、资产类型推断的重要兜底来源。
identity_trace,标识与回放,保证一套房源可唯一追踪、可重放详情页、可回填历史数据。,source_platform,来源平台,P2-可选,identity,list_page,source_platform|platform,audit|future_multi_source_support,planned,"""taobao_sf""",当前默认可固定为 taobao_sf；如果未来接入多平台，建议从一开始预留该字段。
identity_trace,标识与回放,保证一套房源可唯一追踪、可重放详情页、可回填历史数据。,detail_archive_path,详情页归档路径,P1-强烈建议,audit,detail_page,detail_archive_path,archive_replay|risk_backfill|coordinate_backfill,server_generated_only,"""html_archive/2026/2026-05-11/item-864984339365.html""",一旦 AI enrich 失败，后续回放和补抽取都依赖它。
raw_archive,原始归档与再抽取材料,避免未来为补字段而回源重抓；即使当前抽取不完善，也保留足够原始材料供离线重抽。,list_payload_path,列表页原始 payload 路径,P1-强烈建议,archive,list_page,list_payload_path,offline_reparse|collector_debug|future_fields,missing,"""archive_payloads/2026-05-11/list-20260511-001.json""",保存列表页原始 JSON 或其 sidecar 路径，便于后续补字段而不重刷列表页。
raw_archive,原始归档与再抽取材料,避免未来为补字段而回源重抓；即使当前抽取不完善，也保留足够原始材料供离线重抽。,detail_text_path,详情页纯文本归档路径,P1-强烈建议,archive,detail_page,detail_text_path,offline_reparse|llm_reextract,missing,"""html_archive/2026/2026-05-11/item-864984339365.txt""",保存 HTML 过滤后的纯文本版本，便于后续低成本重抽。
raw_archive,原始归档与再抽取材料,避免未来为补字段而回源重抓；即使当前抽取不完善，也保留足够原始材料供离线重抽。,component_payload_path,详情页组件 JSON 归档路径,P1-强烈建议,archive,detail_page,component_payload_path,offline_reparse|source_specific_debug,missing,"""html_archive/2026/2026-05-11/item-864984339365.components.json""",保存 `J_COMPONENT`、notice API 等源站结构化 payload，便于未来精确重抽。
raw_archive,原始归档与再抽取材料,避免未来为补字段而回源重抓；即使当前抽取不完善，也保留足够原始材料供离线重抽。,notice_text_path,公告正文归档路径,P1-强烈建议,archive,detail_page,notice_text_path,llm_reextract|risk_backfill,missing,"""html_archive/2026/2026-05-11/item-864984339365.notice.txt""",单独保存公告正文，便于后续专门针对风险字段重抽。
raw_archive,原始归档与再抽取材料,避免未来为补字段而回源重抓；即使当前抽取不完善，也保留足够原始材料供离线重抽。,desc_text_path,标的描述归档路径,P1-强烈建议,archive,detail_page,desc_text_path,llm_reextract|property_backfill,missing,"""html_archive/2026/2026-05-11/item-864984339365.desc.txt""",单独保存标的描述区域，便于后续补面积、户型、装修、配套。
raw_archive,原始归档与再抽取材料,避免未来为补字段而回源重抓；即使当前抽取不完善，也保留足够原始材料供离线重抽。,attachment_manifest_path,附件清单归档路径,P1-强烈建议,archive,detail_page,attachment_manifest_path,report_download|future_ocr,missing,"""html_archive/2026/2026-05-11/item-864984339365.attachments.json""",保存评估报告、公告附件、PDF 等下载链接和元数据清单。
raw_archive,原始归档与再抽取材料,避免未来为补字段而回源重抓；即使当前抽取不完善，也保留足够原始材料供离线重抽。,image_manifest_path,图片清单归档路径,P2-可选,archive,detail_page,image_manifest_path,future_visual_analysis|condition_review,missing,"""html_archive/2026/2026-05-11/item-864984339365.images.json""",保存现场图片 URL 或下载清单，未来若做图像质量分析无需回源。
auction_core,拍卖核心交易信息,这些字段直接构成估值主链或价格锚点，是采集器最优先保证的部分。,transaction_price,成交价/落槌价,P0-必填,auction,list_page,transaction_price|成交价格|currentPrice,direct_price_chain|backtest,stable,124880,必须统一为元；这是训练样本和回测标签的核心价格字段。
auction_core,拍卖核心交易信息,这些字段直接构成估值主链或价格锚点，是采集器最优先保证的部分。,starting_price,起拍价,P0-必填,auction,list_page,starting_price|起拍价格|initialPrice,starting_price_guard|margin_of_safety,stable,234048,当前长期校准里，起拍价护栏是压制 broad fallback 高估的重要锚点。
auction_core,拍卖核心交易信息,这些字段直接构成估值主链或价格锚点，是采集器最优先保证的部分。,auction_date,成交时间,P0-必填,auction,list_page,auction_date|交易时间|end,temporal_trend|backtest_split,stable,"""2025-02-16 15:28:34""",需要统一为北京时间 YYYY-MM-DD HH:mm:ss。
auction_core,拍卖核心交易信息,这些字段直接构成估值主链或价格锚点，是采集器最优先保证的部分。,auction_start_time,开拍时间,P2-可选,auction,list_page_or_detail_page,auction_start_time|startTime|开拍时间,future_behavior_analysis|duration_analysis,missing,"""2025-02-15 10:00:00""",当前主链暂不消费，但未来可用于拍卖时长、延时行为分析。
auction_core,拍卖核心交易信息,这些字段直接构成估值主链或价格锚点，是采集器最优先保证的部分。,area_sqm,建筑面积,P0-必填,subject,detail_page,area_sqm|建筑面积|建设面积|building_area,unit_price|area_scale_guard|regime_calibration,detail_only,159.02,必须统一成平方米数值；这是所有单价与尺度护栏的基础。
auction_core,拍卖核心交易信息,这些字段直接构成估值主链或价格锚点，是采集器最优先保证的部分。,actual_paid_price,实际支付总价,P1-强烈建议,auction,detail_page_or_compute,actual_paid_price|实际支付总价,direct_price_chain,usually_missing,132380,如果能估出成交价+税费+欠费后的真实总成本，会优于单纯落槌价。
auction_core,拍卖核心交易信息,这些字段直接构成估值主链或价格锚点，是采集器最优先保证的部分。,evaluation_price,评估价/市场价,P1-强烈建议,subject,detail_page_or_llm,evaluation_price|市场评估价,evaluation_anchor|quality_check,mixed_quality,367000,当前主链会把它作为软锚点，但前提是单位和量纲正确。
auction_core,拍卖核心交易信息,这些字段直接构成估值主链或价格锚点，是采集器最优先保证的部分。,auction_round,拍卖轮次,P1-强烈建议,auction,list_page,auction_round|拍卖轮次|round,attribute_adjustment|manual_review,stable,2,一拍/二拍/变卖在价格形成上有明显差异。
auction_core,拍卖核心交易信息,这些字段直接构成估值主链或价格锚点，是采集器最优先保证的部分。,deposit,保证金,P2-可选,auction,detail_page,deposit|保证金,future_calibration,missing,50000,当前服务层接受该字段，但主链尚未显式消费；后续可用于流动性和参与门槛建模。
auction_core,拍卖核心交易信息,这些字段直接构成估值主链或价格锚点，是采集器最优先保证的部分。,watch_count,围观人数,P2-可选,auction,list_page_or_detail_page,watch_count|watchCount|围观人数,future_market_interest,missing,1200,未来若做市场热度、冷门资产识别会有价值。
auction_core,拍卖核心交易信息,这些字段直接构成估值主链或价格锚点，是采集器最优先保证的部分。,reminder_count,提醒人数,P2-可选,auction,list_page_or_detail_page,reminder_count|remindCount|提醒人数,future_market_interest,missing,23,是另一类弱监督热度信号。
auction_core,拍卖核心交易信息,这些字段直接构成估值主链或价格锚点，是采集器最优先保证的部分。,view_count,浏览次数,P2-可选,auction,list_page_or_detail_page,view_count|viewCount|浏览次数,future_market_interest,missing,5400,若源站给出则建议保留，后续可和竞拍热度联动。
location_spatial,位置与空间定位,这些字段决定 comparables 的优先级与 fallback 路径，是误差收敛最敏感的维度之一。,city,城市,P0-必填,subject,list_page,city|城市,spatial_partition|fallback_strategy,stable,"""温州市""",至少要稳定到城市，否则只能退到全局 fallback。
location_spatial,位置与空间定位,这些字段决定 comparables 的优先级与 fallback 路径，是误差收敛最敏感的维度之一。,district,行政区/县,P0-必填,subject,list_page,district|区|行政区,spatial_partition|locality_guard,stable,"""瑞安市""",区/县是当前 district_fallback 的关键分桶字段。
location_spatial,位置与空间定位,这些字段决定 comparables 的优先级与 fallback 路径，是误差收敛最敏感的维度之一。,business_area,商圈/镇街,P0-必填,subject,list_page_or_detail_page,business_area|最靠近商圈|business_area_name,business_area_fallback|locality_guard,mixed,"""陶山镇""",对于县镇/乡村标的尤其重要；当前 broad fallback 长尾高度依赖这层粒度。
location_spatial,位置与空间定位,这些字段决定 comparables 的优先级与 fallback 路径，是误差收敛最敏感的维度之一。,community_name,小区/楼盘名,P0-必填,subject,detail_page_or_llm,community_name|所属小区|小区|小区名称,community_fallback|manual_review,unstable,"""东方广场""",缺这个字段时，当前引擎会明显提高 uncertainty blend 和人工复核概率。
location_spatial,位置与空间定位,这些字段决定 comparables 的优先级与 fallback 路径，是误差收敛最敏感的维度之一。,latitude,纬度,P0-必填,subject,list_page_or_detail_page,latitude|lat|纬度,spatial_filter|centroid_stats,unstable_recent,27.908123,只要有稳定坐标，就能显著减少 broad fallback；请确保和经度不反。
location_spatial,位置与空间定位,这些字段决定 comparables 的优先级与 fallback 路径，是误差收敛最敏感的维度之一。,longitude,经度,P0-必填,subject,list_page_or_detail_page,longitude|lng|经度,spatial_filter|centroid_stats,unstable_recent,120.523456,和纬度配对提供；当前中国坐标有效范围校验已在后端实现。
location_spatial,位置与空间定位,这些字段决定 comparables 的优先级与 fallback 路径，是误差收敛最敏感的维度之一。,coordinate_source,坐标来源,P2-可选,audit,detail_page_or_llm,coordinate_source,audit|manual_review,detail_only,"""html""",建议保留来源，如 list/html/meta/script/llm/centroid，方便后续排查坐标质量。
asset_profile,资产属性,这些字段决定可比样本权重、资产 regime 和属性修正。,housing_type,用途/资产类型,P0-必填,subject,list_page_or_llm,housing_type|房屋用途|housingType,asset_regime|uncertainty_blend|manual_review,mixed,"""住宅""","必须归一化为 [住宅, 别墅, 商业, 办公, 工业, 车位, 其他]。"
asset_profile,资产属性,这些字段决定可比样本权重、资产 regime 和属性修正。,gross_area_sqm,原始产权建筑面积,P1-强烈建议,subject,detail_page_or_llm,gross_area_sqm|产权建筑面积|原始建筑面积,audit|share_adjustment,missing,120.0,记录产权证或公告里的原始建筑面积；如果存在部分产权，不能只保留调整后的面积。
asset_profile,资产属性,这些字段决定可比样本权重、资产 regime 和属性修正。,interior_area_sqm,套内面积,P2-可选,subject,detail_page_or_llm,interior_area_sqm|套内面积,future_density_analysis|residential_quality,missing,98.0,当前主链暂不消费，但未来住宅精细估值可能会用到。
asset_profile,资产属性,这些字段决定可比样本权重、资产 regime 和属性修正。,land_area_sqm,土地/占地面积,P2-可选,subject,detail_page_or_llm,land_area_sqm|土地面积|占地面积,villa_industrial_future_model,missing,300.0,别墅、工业、独栋类资产后续往往需要该字段。
asset_profile,资产属性,这些字段决定可比样本权重、资产 regime 和属性修正。,ownership_share_ratio,产权份额比例,P1-强烈建议,subject,detail_page_or_llm,ownership_share_ratio|产权份额比例,share_adjustment|audit|manual_review,missing,0.5,0~1 浮点值；全产权=1.0，二分之一产权=0.5，十二分之一产权=0.0833。
asset_profile,资产属性,这些字段决定可比样本权重、资产 regime 和属性修正。,layout,户型,P1-强烈建议,subject,llm,layout,layout_similarity,llm_only,"""3室2厅1卫""",同面积下户型差异会显著影响可比权重。
asset_profile,资产属性,这些字段决定可比样本权重、资产 regime 和属性修正。,includes_parking,是否附带车位,P1-强烈建议,subject,llm,includes_parking,parking_similarity|manual_review,llm_only,true,附带车位会显著扭曲单价；当前引擎已经直接吃这个字段。
asset_profile,资产属性,这些字段决定可比样本权重、资产 regime 和属性修正。,build_year,建成年份,P1-强烈建议,subject,llm,build_year,attribute_adjustment,llm_only,2008,用于房龄折旧与同类标的可比性判断。
asset_profile,资产属性,这些字段决定可比样本权重、资产 regime 和属性修正。,total_floors,总楼层,P1-强烈建议,subject,llm,total_floors,attribute_adjustment,llm_only,18,配合所在楼层判断顶底层风险。
asset_profile,资产属性,这些字段决定可比样本权重、资产 regime 和属性修正。,floor_level,所在楼层归一化,P1-强烈建议,subject,llm,floor_level|floor,attribute_adjustment,llm_only,"""高区""","归一化建议值：[底层, 低区, 中区, 高区, 顶层, 独栋]。"
asset_profile,资产属性,这些字段决定可比样本权重、资产 regime 和属性修正。,has_elevator,是否有电梯,P1-强烈建议,subject,llm,has_elevator,attribute_adjustment,llm_only,true,老小区和高层住宅对此字段很敏感。
asset_profile,资产属性,这些字段决定可比样本权重、资产 regime 和属性修正。,orientation,朝向,P2-可选,subject,llm,orientation,attribute_adjustment,llm_only,"""南北""",对住宅更有意义，但当前主链已经支持。
asset_profile,资产属性,这些字段决定可比样本权重、资产 regime 和属性修正。,special_school_tag,学区/学位标签,P2-可选,subject,llm,special_school_tag,attribute_adjustment,llm_only,false,在核心城区住宅里通常是溢价项。
asset_profile,资产属性,这些字段决定可比样本权重、资产 regime 和属性修正。,has_keys,法院是否持钥匙/可看样,P2-可选,subject,llm,has_keys,attribute_adjustment,llm_only,true,盲盒房源通常应更保守。
legal_context,法务上下文与报告索引,这些字段当前不直接进价格主链，但对回溯、法务分层和未来重抽评估报告非常重要。,court_name,执行法院,P2-可选,legal_context,detail_page_or_llm,court_name|法院名称|执行法院,future_partitioning|legal_audit,missing,"""瑞安市人民法院""",后续若按法院、地区、案件风格做质量分析会有价值。
legal_context,法务上下文与报告索引,这些字段当前不直接进价格主链，但对回溯、法务分层和未来重抽评估报告非常重要。,case_number,案件号,P2-可选,legal_context,detail_page_or_llm,case_number|案号,dedupe|legal_audit,missing,"""(2025)浙0381执恢123号""",用于追踪同案多标的、补抓评估报告与人工排错。
legal_context,法务上下文与报告索引,这些字段当前不直接进价格主链，但对回溯、法务分层和未来重抽评估报告非常重要。,appraisal_agency_name,评估机构,P2-可选,legal_context,detail_page_or_llm,appraisal_agency_name|评估机构,future_bias_analysis,missing,"""某某房地产评估有限公司""",未来若需要评估价偏差分析，这个字段很有价值。
legal_context,法务上下文与报告索引,这些字段当前不直接进价格主链，但对回溯、法务分层和未来重抽评估报告非常重要。,appraisal_benchmark_date,评估基准日,P2-可选,legal_context,detail_page_or_llm,appraisal_benchmark_date|评估基准日,future_time_alignment,missing,"""2024-12-31""",评估价如果来自较早基准日，后续需要时间校正。
legal_context,法务上下文与报告索引,这些字段当前不直接进价格主链，但对回溯、法务分层和未来重抽评估报告非常重要。,appraisal_report_urls,评估报告链接列表,P1-强烈建议,legal_context,detail_page,appraisal_report_urls|评估报告链接,offline_report_download|future_ocr,missing,"[""https://.../report.pdf""]",即使现在不下载 PDF，也建议先把 URL 列出来。
legal_context,法务上下文与报告索引,这些字段当前不直接进价格主链，但对回溯、法务分层和未来重抽评估报告非常重要。,announcement_attachment_urls,公告附件链接列表,P1-强烈建议,legal_context,detail_page,announcement_attachment_urls|附件链接,offline_report_download|future_ocr,missing,"[""https://.../notice.pdf"", ""https://.../inventory.xlsx""]",包括须知、公告、清单、评估报告、视频等所有附件 URL。
market_heat_and_risk,市场热度与法务风险,这些字段决定风险折价、人工复核与长期模型校准的稳定性。,bid_count,出价次数,P1-强烈建议,subject,list_page,bid_count|bidCount|出价次数|出价人数,confidence|weak_market_engagement_guard,mixed,1,当前长期校准已把弱市场参与度接进 guard 和 manual review。
